1.00E-02	1.65E+01
1.25E-02	1.40E+01
1.50E-02	1.23E+01
1.75E-02	1.09E+01
2.00E-02	9.91E+00
2.50E-02	8.40E+00
3.00E-02	7.35E+00
3.50E-02	6.57E+00
4.00E-02	5.97E+00
4.50E-02	5.49E+00
5.00E-02	5.09E+00
5.50E-02	4.77E+00
6.00E-02	4.49E+00
7.00E-02	4.05E+00
8.00E-02	3.71E+00
9.00E-02	3.44E+00
1.00E-01	3.22E+00
1.25E-01	2.82E+00
1.50E-01	2.55E+00
1.75E-01	2.36E+00
2.00E-01	2.21E+00
2.50E-01	2.01E+00
3.00E-01	1.87E+00
3.50E-01	1.78E+00
4.00E-01	1.71E+00
4.50E-01	1.66E+00
5.00E-01	1.63E+00
5.50E-01	1.60E+00
6.00E-01	1.58E+00
7.00E-01	1.54E+00
8.00E-01	1.52E+00
9.00E-01	1.51E+00
1.00E+00	1.50E+00
1.25E+00	1.50E+00
1.50E+00	1.50E+00
1.75E+00	1.50E+00
2.00E+00	1.51E+00
2.50E+00	1.53E+00
3.00E+00	1.55E+00
3.50E+00	1.57E+00
4.00E+00	1.59E+00
4.50E+00	1.60E+00
5.00E+00	1.61E+00
5.50E+00	1.63E+00
6.00E+00	1.64E+00
7.00E+00	1.66E+00
8.00E+00	1.68E+00
9.00E+00	1.69E+00
1.00E+01	1.71E+00
1.25E+01	1.73E+00
1.50E+01	1.76E+00
1.75E+01	1.78E+00
2.00E+01	1.79E+00
2.50E+01	1.81E+00
3.00E+01	1.83E+00
3.50E+01	1.85E+00
4.00E+01	1.86E+00
4.50E+01	1.87E+00
5.00E+01	1.88E+00
5.50E+01	1.89E+00
6.00E+01	1.90E+00
7.00E+01	1.92E+00
8.00E+01	1.93E+00
9.00E+01	1.94E+00
1.00E+02	1.95E+00
1.25E+02	1.97E+00
1.50E+02	1.98E+00
1.75E+02	2.00E+00
2.00E+02	2.01E+00
2.50E+02	2.02E+00
3.00E+02	2.04E+00
3.50E+02	2.05E+00
4.00E+02	2.06E+00
4.50E+02	2.07E+00
5.00E+02	2.08E+00
5.50E+02	2.09E+00
6.00E+02	2.09E+00
7.00E+02	2.11E+00
8.00E+02	2.12E+00
9.00E+02	2.12E+00
1.00E+03	2.13E+00
