# projectile, target, recoil, and ejectile masses
1875.612859 1875.612859 2808.391482 939.565379
#energy		legendre coeffs (6)								cross section
2.300000e+6	0.000000e+0 1.775000e-1 0.000000e+0 6.653300e-2 0.000000e+0 1.218500e-3		1.047980e-1
2.400000e+6	0.000000e+0 1.779900e-1 0.000000e+0 7.075600e-2 0.000000e+0 1.398500e-3		1.048037e-1
2.500000e+6	0.000000e+0 1.785600e-1 0.000000e+0 7.500400e-2 0.000000e+0 1.596800e-3		1.047620e-1
2.600000e+6	0.000000e+0 1.792200e-1 0.000000e+0 7.926800e-2 0.000000e+0 1.814200e-3		1.046789e-1
2.700000e+6	0.000000e+0 1.799800e-1 0.000000e+0 8.353800e-2 0.000000e+0 2.051900e-3		1.045479e-1
2.800000e+6	0.000000e+0 1.808200e-1 0.000000e+0 8.780700e-2 0.000000e+0 2.310700e-3		1.043696e-1
2.900000e+6	0.000000e+0 1.817700e-1 0.000000e+0 9.206900e-2 0.000000e+0 2.591800e-3		1.041449e-1
3.000000e+6	0.000000e+0 1.828100e-1 0.000000e+0 9.631500e-2 0.000000e+0 2.896000e-3		1.038750e-1
3.200000e+6	0.000000e+0 1.852000e-1 0.000000e+0 1.047400e-1 0.000000e+0 3.578300e-3		1.032679e-1
3.400000e+6	0.000000e+0 1.879900e-1 0.000000e+0 1.130300e-1 0.000000e+0 4.365200e-3		1.026180e-1
3.600000e+6	0.000000e+0 1.911500e-1 0.000000e+0 1.211600e-1 0.000000e+0 5.264400e-3		1.019301e-1
3.800000e+6	0.000000e+0 1.946900e-1 0.000000e+0 1.290800e-1 0.000000e+0 6.283200e-3		1.012087e-1
4.000000e+6	0.000000e+0 1.985600e-1 0.000000e+0 1.367700e-1 0.000000e+0 7.428000e-3		1.004580e-1
4.500000e+6	0.000000e+0 2.095200e-1 0.000000e+0 1.548000e-1 0.000000e+0 1.087900e-2		9.856301e-2
5.000000e+6	0.000000e+0 2.218200e-1 0.000000e+0 1.707800e-1 0.000000e+0 1.522400e-2		9.662100e-2
5.500000e+6	0.000000e+0 2.347500e-1 0.000000e+0 1.843200e-1 0.000000e+0 2.049200e-2		9.467628e-2
6.000000e+6	0.000000e+0 2.474800e-1 0.000000e+0 1.950100e-1 0.000000e+0 2.666700e-2		9.285400e-2
6.500000e+6	0.000000e+0 2.590300e-1 0.000000e+0 2.023800e-1 0.000000e+0 3.368900e-2		9.114510e-2
7.000000e+6	0.000000e+0 2.682900e-1 0.000000e+0 2.058900e-1 0.000000e+0 4.144800e-2		8.947300e-2
7.500000e+6	0.000000e+0 2.740300e-1 0.000000e+0 2.049800e-1 0.000000e+0 4.978400e-2		8.757754e-2
8.000000e+6	0.000000e+0 2.749900e-1 0.000000e+0 1.991700e-1 0.000000e+0 5.847000e-2		8.575200e-2
8.500000e+6	0.000000e+0 2.700900e-1 0.000000e+0 1.883700e-1 0.000000e+0 6.721400e-2		8.430948e-2
9.000000e+6	0.000000e+0 2.586900e-1 0.000000e+0 1.730500e-1 0.000000e+0 7.567800e-2		8.319300e-2
9.500000e+6	0.000000e+0 2.407600e-1 0.000000e+0 1.543900e-1 0.000000e+0 8.350000e-2		8.265900e-2
1.000000e+7	0.000000e+0 2.170100e-1 0.000000e+0 1.341900e-1 0.000000e+0 9.027900e-2		8.255900e-2
