# projectile, target, recoil, and ejectile masses
1875.612859 2808.921005 3727.379240 939.565379
#energy		legendre coeffs (variable number)								cross section
1.000000e+2          -3.774100e-4  9.528000e-5 -2.563800e-7 -7.902600e-9  1.28400e-10  1.65120e-12  1.87170e-14 -1.01380e-14  1.24360e-14 -9.99370e-15                                                                                       2.04690e-56
1.000000e+4           7.327700e-5  1.608200e-4 -7.473100e-7 -4.203800e-8  5.11080e-10  1.45780e-11  1.15120e-13 -7.95610e-15  1.08850e-14 -8.57510e-15											     1.732600e-3
2.000000e+4           2.984100e-4  1.653600e-4 -8.807900e-7 -5.931300e-8  1.057200e-9  3.96900e-11  3.45020e-13  0.00000e0+0  8.45920e-15 -6.54030e-15											     5.967800e-2
3.000000e+4           4.680500e-4  1.519000e-4 -8.589000e-7 -6.668500e-8  2.001500e-9  7.50340e-11  7.03140e-13  1.47510e-14  4.41030e-15 -3.96070e-15											     2.809600e-1
4.000000e+4           6.115700e-4  1.258900e-4 -7.121700e-7 -6.472400e-8  3.359900e-9  1.18000e-10  1.13570e-12  3.80350e-14  6.91890e-16 -4.17330e-16											     7.163600e-1
5.000000e+4           7.418600e-4  8.968800e-5 -4.540100e-7 -5.319400e-8  5.159600e-9  1.67550e-10  1.60020e-12  7.21140e-14 -3.53700e-15  2.98190e-15											     1.370200e+0
6.000000e+4           8.659800e-4  4.467600e-5 -9.224000e-8 -3.139600e-8  7.478300e-9  2.26230e-10  2.14090e-12  1.20150e-13 -8.93660e-15  7.51230e-15											     2.202100e+0
7.000000e+4           9.881700e-4 -8.173400e-6  3.681600e-7  1.734200e-9  1.046000e-8  3.01800e-10  2.94820e-12  1.86840e-13 -1.40100e-14  1.22060e-14											     3.113400e+0
8.000000e+4           1.111100e-3 -6.811900e-5  9.240100e-7  4.757600e-8  1.432400e-8  4.08440e-10  4.44840e-12  2.86040e-13 -2.01520e-14  1.68560e-14											     3.957100e+0
9.000000e+4           1.236500e-3 -1.345600e-4  1.573500e-6  1.077800e-7  1.936600e-8  5.67800e-10  7.35900e-12  4.34100e-13 -2.47950e-14  2.32730e-14											     4.590200e+0
1.000000e+5           1.365600e-3 -2.070000e-4  2.315700e-6  1.842600e-7  2.596100e-8  8.09830e-10  1.27710e-11  6.63720e-13 -3.01930e-14  2.94700e-14											     4.937000e+0
1.080000e+5           1.472000e-3 -2.689600e-4  2.976200e-6  2.585700e-7  3.265600e-8  1.088800e-9  1.99090e-11  9.34890e-13 -3.38570e-14  3.41840e-14											     5.014200e+0
1.200000e+5           1.637300e-3 -3.681400e-4  4.078800e-6  3.946700e-7  4.569400e-8  1.707100e-9  3.76940e-11  1.55960e-12 -3.67380e-14  4.21480e-14											     4.876900e+0
